年月,平台,剧集播放数,单位,剧集播出时长,单位,剧集上新数,单位,独播上新数,单位,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,,
2024-01,腾讯视频,49,亿次,57.28,小时,25,部,25,部,骨朵数据,https://www.36kr.com/p/2860619025025666,2024-10-10,2024部分总播出时长和部分剧集上新数无信息，为预测信息,,,,,,,,,,
2024-01,爱奇艺,59,亿次,41.36,小时,34,部,34,部,骨朵数据,https://www.36kr.com/p/2860619025025667,2024-10-10,剧集播放数应改为收视率,,,,,,,,,,
2024-01,优酷,37,亿次,39.91,小时,26,部,26,部,骨朵数据,https://www.36kr.com/p/2860619025025668,2024-10-10,,,,,,,,,,,
2024-01,芒果TV,12,亿次,42.38,小时,7,部,7,部,骨朵数据,https://www.36kr.com/p/2860619025025669,2024-10-10,,,,,,,,,,,
2024-04,腾讯视频,23,亿次,62.34,小时,49,部,23,部,骨朵数据,https://www.36kr.com/p/2860619025025671,2024-10-10,,,,,,,,,,,
2024-04,爱奇艺,27,亿次,47.66,小时,59,部,27,部,骨朵数据,https://www.36kr.com/p/2860619025025672,2024-10-10,,,,,,,,,,,
2024-04,优酷,19,亿次,39.84,小时,37,部,19,部,骨朵数据,https://www.36kr.com/p/2860619025025673,2024-10-10,,,,,,,,,,,
